ID_station;station_name;month;value;type
13516;Glacière - Soeur Catherine Marie;Janvier;1339;departure
14001;Edgar Quinet - Gaité;Janvier;2457;departure
14002;Edgar Quinet - Raspail;Janvier;1713;departure
14003;Schoelcher - Raspail;Janvier;1410;departure
14004;Port Royal - Hôpital Cochin;Janvier;2434;departure
14005;René Coty - Place Denfert-Rochereau;Janvier;3182;departure
14006;Saint-Jacques - Tombe Issoire;Janvier;2392;departure
14007;Ferrus - Saint-Jacques;Janvier;1944;departure
14008;Mouton Duvernet - Général Leclerc;Janvier;2463;departure
14009;Tombe Issoire - René Coty;Janvier;2158;departure
14010;Jean Moulin - Place Victor et Hélène Basch;Janvier;4358;departure
14011;Place des Droits de l'Enfant;Janvier;2972;departure
14012;Sibelle - Alésia;Janvier;1323;departure
14013;Liard - Amiral Mouchez;Janvier;1581;departure
14014;Jourdan - Stade Charléty;Janvier;2263;departure
14016;René Coty - Parc Montsouris;Janvier;1507;departure
14018;Porte d'Orléans;Janvier;3105;departure
14019;Sarrette - Général Leclerc;Janvier;2128;departure
14020;Cimetière de Montrouge;Janvier;947;departure
14021;Place de la Porte de Châtillon;Janvier;1786;departure
14022;Didot - Mariniers;Janvier;2006;departure
14023;Adolphe Pinard - Victor Hugo;Janvier;770;departure
14025;Jacquier - Didot;Janvier;1371;departure
14026;Plantes - Moulin Vert;Janvier;2475;departure
14027;Gergovie - Alésia;Janvier;1762;departure
14028;Alésia - Suisses;Janvier;2915;departure
14030;Pernety - Raymond Losserand;Janvier;1844;departure
14031;Didot - Place de Moro-Giafferi;Janvier;1645;departure
14032;Mairie du 14ème;Janvier;2788;departure
14034;Ouest - Château;Janvier;1313;departure
14035;Maine - Jean Zay;Janvier;2147;departure
14036;Boulard - Daguerre;Janvier;1858;departure
14101;Gare Montparnasse - Edgar Quinet;Janvier;3363;departure
14103;Maine - Liancourt;Janvier;1308;departure
14104;Boyer-Barret - Raymond Losserand;Janvier;1628;departure
14106;Marc Sangnier - Porte de Vanves;Janvier;842;departure
14108;Le Brix et Mesmin - Jourdan;Janvier;1051;departure
14110;Abbé Carton - Plantes;Janvier;995;departure
14111;Cassini - Denfert-Rochereau;Janvier;1121;departure
14112;Méchain - Faubourg Saint-Jacques;Janvier;1103;departure
14113;Santé - Arago;Janvier;1564;departure
14116;Romain Rolland;Janvier;497;departure
14117;Gare Montparnasse - René Mouchotte;Janvier;2310;departure
14122;Colonel Monteil - Brune;Janvier;901;departure
14124;David Weill - Parc Montsouris;Janvier;1859;departure
14125;Dareau - Broussais;Janvier;1645;departure
14127;Odessa - Départ;Janvier;1805;departure
14128;Gergovie - Vercingétorix;Janvier;1485;departure
14130;Jonquoy - Didot;Janvier;1046;departure
14131;Jourdan - Monticelli;Janvier;1885;departure
14132;Bézout - Général Leclerc;Janvier;2880;departure
14133;Froidevaux - Boulard;Janvier;1415;departure
14134;Château - Place de Catalogne;Janvier;1304;departure
14135;Jourdan - Cité Universitaire;Janvier;1821;departure
14136;Auguste Cain - Jean Moulin;Janvier;861;departure
14137;Maurice d'Ocagne - General Maudhuy;Janvier;851;departure
14138;Porte de Vanves;Janvier;2786;departure
14139;Pierre Larousse - Raymond Losserand;Janvier;2025;departure
15001;Gare Montparnasse - Arrivée;Janvier;2686;departure
15002;Maine - Antoine Bourdelle;Janvier;1013;departure
15003;Gare Montparnasse - Vaugirard;Janvier;3523;departure
15004;Vaugirard - Pasteur;Janvier;1544;departure
15005;Place Jacques et Thérèse Tréfouël;Janvier;4200;departure
15006;Cherche-Midi - Hôpital Necker;Janvier;3336;departure
15008;Sèvres - Lecourbe;Janvier;4035;departure
15009;Suffren - Pérignon;Janvier;2668;departure
15010;Square Cambronne;Janvier;3446;departure
15011;Cambronne - Villa Croix Nivert;Janvier;1798;departure
15012;Cambronne - Mademoiselle;Janvier;3430;departure
15013;Volontaire - Lecourbe;Janvier;5948;departure
15014;Volontaires - Vaugirard;Janvier;2507;departure
15017;Place Falguière;Janvier;2280;departure
15018;Dutot - Place Alleray;Janvier;1620;departure
15019;Paul Barruel - Vaugirard;Janvier;2100;departure
15020;Mairie du 15ème;Janvier;3149;departure
15021;Joseph Liouville - Croix Nivert;Janvier;2820;departure
15022;Emile Zola - Fondary;Janvier;3069;departure
15023;La Motte-Picquet - Grenelle;Janvier;2052;departure
15024;Suffren - La Motte-Piquet;Janvier;1740;departure
15025;Dupleix - du Guesclin;Janvier;2008;departure
15026;Bir Hakeim;Janvier;3258;departure
15027;Duhamel - André Gide;Janvier;727;departure
15028;Grenelle - Dr Finlay;Janvier;2297;departure
15029;Emeriau - Place de Brazzaville;Janvier;1384;departure
15030;Emeriau - Beaugrenelle;Janvier;4138;departure
15031;Théâtre - Lourmel;Janvier;2618;departure
15032;Félix Faure - Lourmel;Janvier;2170;departure
