Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
31022;Mairie de Montreuil;OUI;52;49;3;0;3;OUI;OUI;2022-03-05T14:43:09+01:00;48.86131452758348,2.440614402294159;Montreuil;
46003;Conservatoire de Musique;OUI;25;0;24;17;7;OUI;OUI;2022-03-05T14:43:01+01:00;48.77093586667601,2.4034014344215398;Choisy-le-Roi;
46002;Rouget de Lisle;OUI;35;2;33;24;9;OUI;OUI;2022-03-05T14:43:11+01:00;48.764615483395254,2.4071189761161804;Choisy-le-Roi;
15105;Fédération - Suffren;OUI;25;20;4;3;1;OUI;OUI;2022-03-05T14:42:16+01:00;48.852828153442346,2.2978776320815086;Paris;
18003;Cimetière de Montmartre;OUI;43;43;0;0;0;OUI;OUI;2022-03-05T14:41:33+01:00;48.886472466141925,2.3328901827335358;Paris;
42014;Place Marcel Cachin;OUI;32;12;20;20;0;OUI;OUI;2022-03-05T14:38:46+01:00;48.81411442356866,2.39090770483017;Ivry-sur-Seine;
41302;Charles de Gaulle - Beauté;OUI;49;33;16;4;12;OUI;OUI;2022-03-05T14:42:58+01:00;48.83649602312711,2.479562651149885;Nogent-sur-Marne;
15054;Lecourbe - Jean Maridor;OUI;19;0;18;17;1;OUI;OUI;2022-03-05T14:42:42+01:00;48.83796366147599,2.2877392172813416;Paris;
21212;Marne - Germain Dardan;OUI;22;22;0;0;0;OUI;OUI;2022-03-05T14:35:25+01:00;48.81154270401601,2.303070724010468;Montrouge;
15106;Grenelle - Violet;OUI;35;17;18;15;3;OUI;OUI;2022-03-05T14:42:33+01:00;48.84993035512154,2.294612042605877;Paris;
42706;Roger Salengro - Fontainebleau;OUI;25;24;0;0;0;OUI;OUI;2022-03-05T14:36:59+01:00;48.814548697324845,2.36116636544466;Le Kremlin-Bicêtre;
18046;Etienne Jodelle - Saint Ouen;OUI;33;33;0;0;0;OUI;OUI;2022-03-05T14:42:49+01:00;48.88794016394694,2.326124420314341;Paris;
15042;Henry Farman;OUI;16;0;16;13;3;OUI;OUI;2022-03-05T14:40:49+01:00;48.83372430280548,2.2713854536414146;Paris;
35002;Jean Jaurès - Presles;OUI;30;23;7;4;3;OUI;OUI;2022-03-05T14:41:41+01:00;48.90713441498779,2.396005728053061;Pantin;
19044;Grands Moulins de Pantin;OUI;50;40;10;1;9;OUI;OUI;2022-03-05T14:39:27+01:00;48.89738369720229,2.3959985375404362;Paris;
2111;Chabanais - Petits Champs;OUI;30;3;24;22;2;OUI;OUI;2022-03-05T14:38:16+01:00;48.86703740186721,2.336716018617153;Paris;
43008;Fontenay - Libération;OUI;25;20;5;3;2;OUI;OUI;2022-03-05T14:43:06+01:00;48.84780306364685,2.445141971111298;Vincennes;
8054;Bertie Albrecht - Hoche;OUI;32;31;1;1;0;OUI;OUI;2022-03-05T14:38:11+01:00;48.87614039826388,2.301303138307601;Paris;
33102;Gabriel Péri - Francisco Ferrer;OUI;18;14;4;2;2;OUI;OUI;2022-03-05T14:37:07+01:00;48.88633710236977,2.407338917255402;Le Pré-Saint-Gervais;
15109;Cevennes - Bergers;OUI;29;16;13;10;3;OUI;OUI;2022-03-05T14:40:16+01:00;48.84240765130395,2.281037718057633;Paris;
13001;Port-Royal - Hôpital du Val-de-Grâce;OUI;18;15;3;3;0;OUI;OUI;2022-03-05T14:37:32+01:00;48.8376682728114,2.344813834660711;Paris;
21209;Molière - République;OUI;30;27;2;1;1;OUI;OUI;2022-03-05T14:41:40+01:00;48.81111581390707,2.3145738624448158;Montrouge;
15104;Hôpital Européen Georges Pompidou;OUI;64;1;63;47;16;OUI;OUI;2022-03-05T14:42:41+01:00;48.83769531916335,2.275374233722687;Paris;
14012;Sibelle - Alésia;OUI;25;23;2;2;0;OUI;OUI;2022-03-05T14:42:57+01:00;48.826701758539215,2.3384983465075493;Paris;
44006;Concorde - Stalingrad;OUI;35;33;2;2;0;OUI;OUI;2022-03-05T14:42:57+01:00;48.7985844,2.3821302;Vitry-sur-Seine;
14124;David Weill - Parc Montsouris;OUI;22;22;0;0;0;OUI;OUI;2022-03-05T14:41:25+01:00;48.821092374256104,2.333725690841675;Paris;
22202;Jean Marin Naudin - Stalingrad;OUI;30;24;6;0;6;OUI;OUI;2022-03-05T14:37:49+01:00;48.805713897355375,2.320202328264713;Bagneux;
21006;Marcelin Berthelot;OUI;27;20;6;4;2;OUI;OUI;2022-03-05T14:35:34+01:00;48.8415473058801,2.233161628246308;Boulogne-Billancourt;
19120;Carducci - Place Hannah Arendt;OUI;27;25;1;0;1;OUI;OUI;2022-03-05T14:41:07+01:00;48.877436681515796,2.3860743641853337;Paris;
